id,productAttributesetId
210,27
236,27
38,14
122,27
124,27
123,27
199,27
75,27
69,27
65,27
66,27
67,27
68,8
168,2
289,27
45,27
197,27
213,27
132,27
190,27
134,27
176,27
155,27
47,27
165,2
172,27
169,2
175,27
208,27
152,27
133,22
153,27
32,27
33,27
206,27
52,27
54,14
57,27
58,8
59,15
83,27
159,27
22,12
15,27
164,27
29,27
30,11
25,27
17,24
1,27
166,2
119,27
296,27
209,27
106,27
139,22
129,27
290,27
160,27
125,27
135,22
76,27
77,8
78,15
202,27
212,27
211,27
46,17
285,27
277,2
279,4
283,27
278,3
287,27
276,27
282,27
286,27
280,27
284,27
281,2
299,27
92,7
97,27
24,11
85,27
149,27
51,27
55,27
41,27
142,22
93,25
177,27
107,27
56,27
161,27
297,27
227,27
229,27
230,27
231,27
228,27
234,27
102,19
100,19
19,27
126,27
136,22
109,27
170,27
154,27
145,27
194,27
89,27
81,27
80,27
91,6
96,27
42,27
53,27
192,27
191,27
111,27
112,27
146,27
120,27
116,27
291,27
162,27
84,27
240,27
247,27
253,27
259,27
266,27
241,27
248,27
254,27
260,27
267,27
242,27
249,27
255,27
261,27
268,27
158,27
157,27
156,27
200,27
28,27
193,27
98,27
31,10
26,27
71,27
113,27
198,27
196,27
233,8
223,27
189,26
121,27
35,27
104,4
82,27
18,9
114,27
300,27
99,13
144,22
34,27
204,2
205,3
203,27
63,27
62,15
181,27
183,27
182,27
187,27
184,27
186,27
185,27
179,3
178,27
239,27
246,27
252,27
232,27
295,27
95,27
258,27
265,27
214,27
292,27
137,27
49,27
16,27
298,27
171,27
103,27
130,27
141,22
23,21
44,27
293,27
48,27
79,27
105,27
275,27
273,27
274,27
173,27
37,18
148,27
10,27
3,2
5,4
8,27
4,3
14,27
2,27
12,27
6,27
11,27
13,27
9,27
7,27
226,27
294,27
36,8
143,27
243,27
250,27
256,27
262,27
269,27
244,27
263,27
270,27
86,27
150,27
140,27
238,27
288,27
218,27
221,27
50,27
222,27
220,27
219,27
151,27
224,27
61,27
195,27
21,20
108,23
207,27
163,27
94,5
245,27
251,27
257,27
264,27
271,27
90,27
118,27
40,15
188,27
180,27
272,27
88,27
87,27
74,22
73,15
174,27
235,27
115,27
225,27
64,27
72,27
70,27
217,15
216,27
215,27
117,27
127,27
147,22
101,25
201,27
128,27
138,22
27,27
20,1
237,27
131,27
43,27
110,27
60,27
39,16
167,27
